sgg_nm,id,year,complaints,case_num
종로구,11110,,,
중구,11140,,,
용산구,11170,,,
성동구,11200,,,
광진구,11215,2016,410,589
광진구,11215,2017,420,1151
광진구,11215,2018,485,1415
광진구,11215,2019,396,1115
광진구,11215,2020,519,1037
동대문구,11230,2015,152,97
동대문구,11230,2016,141,336
동대문구,11230,2017,217,1133
동대문구,11230,2018,226,801
동대문구,11230,2019,353,505
동대문구,11230,2020,563,658
중랑구,11260,2015,587,625
중랑구,11260,2016,673,391
중랑구,11260,2017,796,354
중랑구,11260,2018,861,233
중랑구,11260,2019,470,712
중랑구,11260,2020,705,182
성북구,11290,,,
강북구,11305,,,
도봉구,11320,,,
노원구,11350,,,
은평구,11380,2020,954,476
서대문구,11410,,,
마포구,11440,2020,1372,265
마포구,11440,2019,1857,330
마포구,11440,2018,1147,366
마포구,11440,2017,1101,444
마포구,11440,2016,685,362
마포구,11440,2015,988,387
양천구,11470,2015,241,1283
양천구,11470,2016,293,1336
양천구,11470,2017,303,979
양천구,11470,2018,326,744
양천구,11470,2019,291,988
양천구,11470,2020,275,568
강서구,11500,2017,460,1099
강서구,11500,2018,526,1294
강서구,11500,2019,357,876
구로구,11500,2016,1564,782
구로구,11500,2017,1344,672
구로구,11530,2018,1392,696
구로구,11530,2019,1074,537
구로구,11530,2020,1530,765
금천구,11545,,,
영등포구,11560,,,
동작구,11590,2016,727,485
동작구,11590,2017,604,525
동작구,11590,2018,525,520
동작구,11590,2020,311,599
관악구,11620,2015,1731,964
관악구,11620,2016,1715,1202
관악구,11620,2017,582,374
관악구,11620,2018,781,535
관악구,11620,2019,702,573
관악구,11620,2020,868,305
서초구,11650,2017,720,26391
서초구,11650,2018,955,18728
서초구,11650,2019,1120,19424
서초구,11650,2020,1330,5469
강남구,11680,2017,2003,1667
강남구,11680,2018,2220,1224
강남구,11680,2019,2264,1516
강남구,11680,2020,2261,903
송파구,11710,2016,1091,2561
송파구,11710,2017,1697,2487
송파구,11710,2018,1852,2332
송파구,11710,2019,2241,3572
강동구,11740,,,
