,time,adm_cd,age_20
252,14시,11650510,5931.4009428571435
253,14시,11650520,10461.4161
254,14시,11650530,14111.292928571429
255,14시,11650531,10961.697642857142
256,14시,11650540,5269.809957142857
257,14시,11650550,471.9029571428572
258,14시,11650560,5458.2553714285705
259,14시,11650570,1738.6389142857145
260,14시,11650580,3356.176457142857
261,14시,11650581,8054.277042857143
262,14시,11650590,2107.556557142857
263,14시,11650600,4129.451928571429
264,14시,11650610,3302.2868285714285
265,14시,11650620,2027.5717
266,14시,11650621,3284.3872142857144
267,14시,11650651,8184.9671285714285
268,14시,11650652,6677.258985714286
269,14시,11650660,2794.679071428571
